reviewText,unixReviewTime,reviewTime,rating,label
Not a bad movie for a one time watch.,1446422400,"11 2, 2015",5.0,1
Its meh. Watch it and never think about it again.,1468540800,"07 15, 2016",2.0,-1
I found the  storyline a little confusing.,1433721600,"06 8, 2015",3.0,0
Pretty strange ....,1485820800,"01 31, 2017",1.0,-1
I have no idea how all these actors were talked into this terribly written script,1456704000,"02 29, 2016",1.0,-1
Could not get through at all -flat - he is miscast,1496188800,"05 31, 2017",2.0,-1
"I liked it okay, but got a little bored.  All in all is was an okay movie. Very special effects.",1396051200,"03 29, 2014",3.0,0
A total waste of time!,1481760000,"12 15, 2016",2.0,-1
Don't waste your money or time.,1407715200,"08 11, 2014",1.0,-1
OK,1455580800,"02 16, 2016",3.0,0
Too bad there was no Goal II with same actors.,1431043200,"05 8, 2015",5.0,1
My husband and I had to watch this after watching the Bette and Joan special on TV recently.  I'm not sure the younger generation will enjoy it as much as those of us who remember these actors.,1493424000,"04 29, 2017",5.0,1
loved it.  It is great.,1475107200,"09 29, 2016",5.0,1
"I was looking forward to a good story. The story was dull, dry and boring. The actors and the writing were hard to follow and the relate too.I don't know what to do w/the rest of the dvds..",1405382400,"07 15, 2014",1.0,-1
Not a kids movie. Scared the crap out of my 3 year old daughter.,1463788800,"05 21, 2016",1.0,-1
It was entertaining.,1459296000,"03 30, 2016",3.0,0
"Movie is good. haven't seen since it was on VHS. Couldn't get the dvd to play on my computer, nor my dvd player. Bought it new, but I'm gonna have to return this.",1250208000,"08 14, 2009",3.0,0
This season is also filled with energy-packed scenes and good storytelling combined.  Kiefer Sutherland is a superb actor in this series.,1398211200,"04 23, 2014",5.0,1
"This is not my favorite movie either.  After seeing the remake of The Italian Job, I wanted to get the original, but was not impressed with it.  I like the actors alright, but wasn't that pleased with the story itself.  Okay movie, and great service with Amazon as usual.",1370044800,"06 1, 2013",3.0,0
Excellent,1435536000,"06 29, 2015",5.0,1
A very well acted old Russian movie. Set in the days of the Great Patriotic War (WW2) it gives you a look into the lives of those that stayed home and waited. A very good but ad movie.,1364428800,"03 28, 2013",4.0,1
"Great film. Watching in Blu-ray 3D, even greater. You can almost believe that the actors were riding creatures that fly.",1355270400,"12 12, 2012",5.0,1
Good movie with great character building.  The actors did a great job.  I especially liked seeing the relationship grow between the brothers.,1386547200,"12 9, 2013",4.0,1
It was better the first time I watched it way back when. It was a good movie.,1492560000,"04 19, 2017",3.0,0
"They're flip disks, plus their stupid ""Universal"" theme song for ""Universal Pictures"" or whatever that is, it's after every stupid episode.  It's ridiculous....",1483574400,"01 5, 2017",3.0,0
Kind of slow for an hbo series. Interesting though.,1430352000,"04 30, 2015",3.0,0
"A complete waste of my time. Stupid and boring. Aliens fans will probably like it, but it's just too stupid to find any redeeming value in it. Good actors, at least there's that.",1495238400,"05 20, 2017",1.0,-1
"What a fun movie!  Well done!  Excellent cast, all the actors looked as if they were having a marvelous time on set!  Love the *Jane* character!!  CGI scenes were really good!  Thoroughly enjoyable movie!!",1490400000,"03 25, 2017",5.0,1
One of the better X-Men films for the second generation actors.,1504656000,"09 6, 2017",5.0,1
"It didn't get the best reviews, but I loved it. Three phenomenal actors and they were on. It was hilarious and weird. I'm so happy I watched it.",1474934400,"09 27, 2016",5.0,1
Good,1417305600,"11 30, 2014",3.0,0
Really not much new.  Most of the characters are the same as every year.  Most of the stories are the same.  Needs to have NEW blood.,1370390400,"06 5, 2013",3.0,0
"I can think of one word to describe this movie:  IDIOTIC. Idiotic characters, idiotic storyline, idiotic scenery. Can't think of the last time I've seen such a idiotic movie.",1416528000,"11 21, 2014",1.0,-1
pulls at the heart strings,1442707200,"09 20, 2015",3.0,0
I like this movie the reviews aren't to good but I thought it was a good movie the story line is good good actors I give it a b,1402704000,"06 14, 2014",5.0,1
