reviewText,unixReviewTime,reviewTime,rating,label
"Cage does his usual fine job, but the story drags a little.",1405296000,"07 14, 2014",3.0,0
"We found Wild to be very disjointed & really quite boring. We were happily we had not doesn't time & $$ st a theatre.. If it was intended to ""copy"" THE WAY, it was a very poor job. Too bad, Reese Witherspoon is a great actress, but the story was definitely a ""stream of consciousness"". Would not recommend this to anyone. Waste of time.",1429228800,"04 17, 2015",1.0,-1
I have watched this movie at least 100 times.  best detective movie ever. I do own it,1436832000,"07 14, 2015",5.0,1
"It is one of the better world war 2 movies made. Mostly because since it is a series, it can take the time to explain in more depth than a traditional hour and half show. That said, it is not without its faults. The horror of battle is shown I believe often more for viewer effect than drama. Again a matter of my likes and opinion. I do find that not having well established actors is a major benefit. The actors do a great job in their roles. Of course the gentlemen who open each show with their first hand statements is as it should be. All in all, a first rate series I can recommend to friend.",1410480000,"09 12, 2014",4.0,1
Great,1445385600,"10 21, 2015",5.0,1
"This movie was not at all what I expected but in the end I loved it. The actors are very good, the roles they played was out standing. Delivery was fast and great condition. I was thinking he would not end up with her after what he found out about her, but was great.",1379289600,"09 16, 2013",5.0,1
A cheap B movie...,1461024000,"04 19, 2016",1.0,-1
not sure we'll be watching past the pilot.,1413504000,"10 17, 2014",3.0,0
okay movie,1497571200,"06 16, 2017",3.0,0
Great movie about the backstory of the Beach Boys.,1444953600,"10 16, 2015",3.0,0
It was just hard to follow and the ending not believable,1473206400,"09 7, 2016",2.0,-1
"It was alright. I enjoyed it just enough to sit through it, I only got it because it was free. It was okay.",1483056000,"12 30, 2016",3.0,0
"One of the funniest movies I've seen in a long time.  It has a great cast of famous actors, and the writing is excellent with very clever, intelligent humor.  I would highly recommend this movie to anyone who enjoys a good comedy with a really good story line.  That is a difficult combination to find.",1441497600,"09 6, 2015",5.0,1
sad and tragic- too much like Ledger's real life.,1444348800,"10 9, 2015",3.0,0
"The movie was very entertaining, kept me on the edge of my seat the entire time.  The young actor was very good, and Harrison Ford was great.",1392940800,"02 21, 2014",5.0,1
"love the both actors, now I need to complete my set",1420848000,"01 10, 2015",5.0,1
Could have been more suspenseful.,1441411200,"09 5, 2015",1.0,-1
"Of course it's cheesy but that's the charm of Bruce Campbell.  And he really is a terrific actor.  Love me some Bruce, Baby.",1359590400,"01 31, 2013",5.0,1
Fun action sci-fi film. No real connection to the characters though.,1466726400,"06 24, 2016",3.0,0
"I'll get the UK version with the 3D disc, thank you. Don't give me an inferior release and tell me I should be grateful. What are you, Disney? 3D most certainly is the whole point of this release's existence. James Cameron has said as much.",1504569600,"09 5, 2017",1.0,-1
I remembered it as way funnier.,1503532800,"08 24, 2017",2.0,-1
Love this movie. Have seen it 3 times and now can see even more. I never get tired of it.,1394236800,"03 8, 2014",5.0,1
Not as interesting as I thought it would be,1464480000,"05 29, 2016",2.0,-1
worst movie ive seen in years,1438819200,"08 6, 2015",1.0,-1
I didn't care for it at all I didn't even finish half an episode before I shut it off,1410393600,"09 11, 2014",1.0,-1
awful,1441584000,"09 7, 2015",1.0,-1
Good zombie film but the plot got a little lost at the end. But it's a zombie film.,1428019200,"04 3, 2015",3.0,0
Not too bad.,1426723200,"03 19, 2015",3.0,0
too depressing to think about.  and will it happen again soon??,1486339200,"02 6, 2017",3.0,0
This show is so funny! All the actors were perfect for their parts. Too bad they did not make more of them. Lead actor died day after it was finished. :(,1363392000,"03 16, 2013",5.0,1
"Good movie, I liked the story and effects. 3 stars",1482537600,"12 24, 2016",3.0,0
IT is CRAP! This was so awful I could not get through the movie.,1437868800,"07 26, 2015",1.0,-1
my granddaughter like very much.,1442102400,"09 13, 2015",3.0,0
"Good actors, and close to the bible",1439510400,"08 14, 2015",5.0,1
It is a highway car chase done on dirt roads.  Are you serious?  Don't waste your money unless you like the chase scenes in movies.  That is what you get here.  Dust.,1443571200,"09 30, 2015",2.0,-1
CHEAP INVESTMENT IN THIS FILM,1495670400,"05 25, 2017",2.0,-1
"The movie is very suspenseful and the acting is excellent, but the logic becomes far-fetched and twisted when you think back of the plot.",1417737600,"12 5, 2014",3.0,0
I can't imagine anyone thinking the script or story was worth making a movie out of it.  Fine actors all - but not my cup of tea.  Let this one go!,1469145600,"07 22, 2016",2.0,-1
great special effects but not a great plot. It is entertaining and a good escape movie.,1446681600,"11 5, 2015",3.0,0
"One of my favorites. Would like to have seen more content in a Blu-ray, but understand it's a little older too?",1510704000,"11 15, 2017",5.0,1
"It was okay. Animated, quirky, but never really laugh out loud for adults or kids.",1465171200,"06 6, 2016",3.0,0
Film was a disappointment and somewhat disjointed following a very fine book.  A waste of fine acting ability from major stars.,1385683200,"11 29, 2013",2.0,-1
Excellent! Keeps you on the edge of your seat!,1459209600,"03 29, 2016",4.0,1
the dvd is what she wanted very good,1437609600,"07 23, 2015",5.0,1
"The actress was fine, but the movie itself was a bit unsettling for me.",1442361600,"09 16, 2015",2.0,-1
"This is one of my new favorite movies now, great cast, great action, great fun.",1468540800,"07 15, 2016",5.0,1
Monty Python genius applied to Hunter S. Thompson's account of a drug induced master piece!,1457913600,"03 14, 2016",5.0,1
Ok,1409011200,"08 26, 2014",3.0,0
Wasn't as great as people made it seem to be.,1404864000,"07 9, 2014",3.0,0
terribly boring and cheap movie.,1422576000,"01 30, 2015",1.0,-1
Over my head. No appeal. Bad acting,1411344000,"09 22, 2014",1.0,-1
"Just shy of some gross porn, but excellent musical score, shame soundtrack is no longer available.",1045612800,"02 19, 2003",3.0,0
Meh! Interesting from the point of view of seeing what was on TV in 1949.,1418083200,"12 9, 2014",3.0,0
Not as good as the first.  I found this movie terrible but I liked the first installment.  I,1415059200,"11 4, 2014",1.0,-1
OK and it doesn't end the way that you expect it.,1433721600,"06 8, 2015",3.0,0
This movie was the worst vampire movie I have ever  seen what it has done with vampires I DO NOT KNOW. Want my money back .,1409616000,"09 2, 2014",1.0,-1
Probably the worst acting I have ever seen. Wow.,1410912000,"09 17, 2014",1.0,-1
"I really wish I could have given it negative stars.This movie is terrible.  Others have pointed out the many, many, many historical inaccuracies so I won't bore you with them yet again.  The costuming was even more inaccurate.Simply awful.",1276214400,"06 11, 2010",1.0,-1
