reviewText,unixReviewTime,reviewTime
"As a kid I really loved this movie. As much as I was interested in Baseball, I was interested in the idea of travel, and the idea of Japan. The plot and production value are atrociously bad, but I guess back then it was acceptable. I still love the idea of the Bad News Bears, but the closer I look at it now, its like a bad accident that you can't look away from. 'Merica.",1448064000,"11 21, 2015"
"Really nice plotline of the written words of a man and a woman from eras ago and the two people who trace their intertwining history.  Ms Paltrow is excellent, as usual.",1356048000,"12 21, 2012"
It's a cute movie and the kids enjoy it.  It just seemed a bit rushed and shallow to me.,1483401600,"01 3, 2017"
"Home Theatre is becoming more common each day and buying the right DVD for your system is most important. The movie is the main ingredient/bottom line to all this equipment! Being a videophile I am obsessed in getting the best quality picture and sound available! So my reviews will concentrate on the total DVD package.TOTAL RECALL is my (#2nd) Home Theatre DVD Review. This is the movie's second release and the first was fair but they got it right on this ""Special Limited Edition"".Now this DVD is Digitally ReMastered (Picture & Sound). It is enhanced for Widescreen (16:9 Aspect Ratio) TV's & HDTV's. The movies picture is one of the best (sharpest clarity) I've ever seen on home DVD. NOTE: 480p = 480 horizontal lines (Digital) of Progressive Scan (p) - which is basically a line doubler and using COMPONENT VIDEO cable for the best picture quality. Regular DVD players have 480i = 480 horizontal lines (Analog) and use either COMPOSITE or S-VIDEO Cables. For more information see my SD-6200 & MV3CV-2M reviews.Simply put this is a scifi Arnold Schwarzenegger action movie of the highest quality (special effects, story line, casting & color). He is caught between a boring life and the strange desire to be an action hero on Mars. He sees a TV ad referring to a brain implant journey to Mars. This is the latest Travel scheme fad of the time. A mental exercise in time and space. (pretty clever huh?) The name of the company is ""Rekall"". This is just the beginning of a great DVD journey!!!! (Parental Guidance required - some graphic violence and mutant make-up).The colors are absolutely beautiful, so vivid. The Sound is so crystal clear. (5.1)Extras are abundant and delightful including a Commentary Track with Schwarzeneggers many fond memories. This DVD is a great value and total eye & ear candy!!!!",1001548800,"09 27, 2001"
"VCI Entertainment and Principle Pictures present the mystic magician adapted from a radio drama in ""The Return of Chandu "" (1934) (Dolby digitally remastered), 12 Chapters of vintage serial loaded with suspenseful and mysterious sequences...story line has Chandu the mystic locking horns with the Black Magic Cult of Ubasti...is there a sacrifice in the works of the last Egyptian Princess alive...will Chandu with all the powers at his hand be able to thwart these evildoers of this 12 Chapter serial...does Bela Lugosi as Chandu get the girl at the end of the serial...director Ray Taylor at the helm does an excellent job of bringing the best out of each actor for the characters involved....also take note of the musical score by these composers Rudolf Friml, Charles Dunworth, Francis Gromon, Nem Herkin and Josiah Zuro, each cue is completely mesmerizing...keep that thought as each chapter is more exciting than the previous one...stayed tuned and don't miss any of the mysterious episodes.Under director Ray Taylor, producer Sol Lesser with screenplay by Barry Barringer, Harry A. Earnshaw, R.R. Morgan, Vera M. Oldman...the cast Bela Lugosi ( Frank Chandler, aka Chandu the Magician), Maria Alba (Princess Nadji), Clara Kimball Young (Dorothy Regent), Dean Benton (Bob Regent), Phyliss Ludwig ( Betty Regent), Murdock MacQuarrie (The ""Voice"" of Ubasti), Iron Eyes Cody (Cat Man), Jack Clark (Vitras, High Priest of Ubasti), Josef Swickard (Tyba, the White Magician), Wilfred Lucas (Capt. Wilson), Lucien Prival (Vindhyan)...danger everywhere for Princess Nadji is what Chandu visions in his crystal ball...black magic will be held for a sacrifice of the cult Ubasti...must they visit the island of Lemuria and the result is being held in captivity...will Chandu be plunged into an endless maze of caverns beneath the evil Temple of Ubasti...can his own powers be made helpless by the full forces of Black Magic...this is the kind of stuff we went to the local theater to see every week and couldn't wait for the next time...relive those wonderful memories of the serials from yesteryear thanks to VCI Entertainment and their gang of dedicated people.CHAPTER TITLES:1. The Chosen Victim2. The House in the Hills3. On the High Seas4. The Evil Eye5. The Invisible Circle6. Chandu's False Step7. Mysterious Magic8. The Edge of the Pit9. The Terror Invisible10. The Crushing Rock11. The Uplifted Knife12. The Knife DescendsSPECIAL FEATURES:BIOS:1. Bela LugosiBirth Date: 10/20/1882 - Austria-HungaryDeath Date: 8/16/1956 - Los Angeles, CA2. Maria Alba - (1905-1999)3. Ray TaylorBirth Date: 12/01/1880 - Perham, MinnesotaDeath Date: 2/15/1952 - Hollywood, CAVCI CLIFFHANGER TRAILERS:1. Adventures of Red Ryder (Don ""Red"" Barry)2. Zorro Cliffhanger Collection (Reed Hadley, John Carroll, Linda Stirling)3. Dick Tracy's G-Men (Ralph Byrd)4. Adventures of the Flying Cadets (Bobby Jordan)5. Buck Rogers (Buster Crabbe)6. Flash Gordon Conquers the Universe (Buster Crabbe )7. Jungle Girl (Frances Gifford),8. Jungle Jim (Grant Withers & Raymond Hatton)9. Mandrake the Magician (Warren Hull)10. Zane Grey's ""King of the Royal Mounted"" (Allan ""Rocky"" Lane)11. Miracle Rider (Tom Mix & Tony Jr)12. Secret Agent X-9 (1937) (Scott Kolk, Henry Brandon & Monte Blue)13. The Phantom (Tom Tyler)14. Secret Agent X-9 (1945) (Lloyd Bridges & Key Luke)15. Zorro's Cliffhanger Collection (Reed Hadley, John Carroll & Linda Stirling)TRAILERS::Undersea Kingdom (Ray ""Crash"" Corrigan)Tex Granger (Robert Kellard, Peggy Stewart, Smith Ballew, Jack Ingram)Congo Bill (Don McGuire)If you crave action, drama and plenty of adventure then this is the place for all of the above...if you enjoyed this serial check out another release from VCI Entertainment and Columbia Pictures present ""Captain Video: Master of the Stratosphere"" (1951) (digitally remastered), 15 Chapters.finally for the first time on video the really great Columbia Serial that broke the mold...we have everything a serial fan would want...the tinted sequences by Cinecolor and unique inventions that were unlike any other serial out there in the '50s...get out there as they're going fast, this is the one you've been waiting for.Great job by VCI Entertainment for releasing the digital transfere with a clean, clear and crisp print...looking forward to more of the same from the '30s vintage serial era...order your copy now from Amazon or VCI Entertainment (""King of the Serials""), stay tuned once again with a top notch serial from VCI...just the way we like 'em!Total Time: 208 mins on DVD ~ VCI Entertainment 8386~ (6/29/2004)",1162166400,"10 30, 2006"
"It's easy to find things to hate about any country or culture; it's especially easy to find things to hate about the USA. The fact that so many Americans are ""in on the joke,"" and laugh about the absurdity of their own civilization concerns me. This isn't the first movie to raise awareness on a rather serious issue, while at the same time being flippant about its own message. Idiocracy comes to mind. And although God Bless is funny, at times, I feel guilty for finding it so. Here is a movie that highlights and ridicules the most shallow aspects of entertainment in the country, and rather than leave it at that, it devolves into some awful parody of itself by investing in massive amounts of violence. Maybe the director is trying to pander to his audience, who even though they believe themselves to be above the vile figures portrayed, are nothing more than consumers of the very filth railed against in the film. This is hypocrisy at its finest, in other words, and everyone is in on it. Me too, and I hate myself because of that. Having seen the previews before, I started watching the film with some knowledge of the plot. I wanted to sit and watch the mutilation and destruction of things that I see as repugnant. Unfortunately, I became repugnant for indulging in that desire. I haven't felt this dirty watching a flick since Borat.Structurally, God Bless is very well-made. Even if the ending is predictable, you get that feeling as with all good road-trip movies -- you're just along for the ride, no matter the destination. The acting is superb. The only other program I've seen Joel Murray in is Mad Men. He was a decent choice for the disillusioned Frank. And the fantastic Tara Lynne Barr, his sidekick, reminds me of a young Christina Ricci.Be wary of a film that preaches one thing and practices another. Maybe I took its theme a little too seriously. I doubt it. There is something perverse here.",1440979200,"08 31, 2015"
"This movie was okay, for a surf movie it was pretty good but it wasn't my favorite. But all in all it was a pretty good movie!",1383868800,"11 8, 2013"
"Total Recall is...meh. There's some good action to see and some fun to be had but there's also some pretty bad dialogue and a weak plot to get through. Farrell and Biel do pretty well with what they're given, but Cranston is extremely underutilized and I'm not sure how I feel about Kate Beckinsale's Terminator-esque attitude. The movie went through a lot of production woes so hopefully there's a more satisfying Director's Cut to be seen in the future.",1350432000,"10 17, 2012"
One of the most creative shows ever aired.  Great cast with great chemistry.  The songs they wrote to accompany each episode stay with you long after you've watched the episode.,1439078400,"08 9, 2015"
I only bought it because a freind of mines lent it to me and the kids lost the DVD from what little I saw of the movie it sucks and is slow I would of never bought the movie on my own.save your money.,1398124800,"04 22, 2014"
