filename,semantic_label,partition,numeric_label,task
04494.png,pantheon,val,0,target
03865_aug_0.png,hofburg_imperial_palace,train,1,target
05965.png,hofburg_imperial_palace,test,1,target
00664.png,pantheon,test,0,target
11156_aug_0.png,pantheon,train,0,target
05075_aug_0.png,hofburg_imperial_palace,train,1,target
04985.png,hofburg_imperial_palace,val,1,target
09735_aug_0.png,hofburg_imperial_palace,train,1,target
12048_aug_0.png,pantheon,train,0,target
12101_aug_0.png,pantheon,train,0,target
04685_aug_0.png,hofburg_imperial_palace,train,1,target
09424.png,pantheon,test,0,target
12380.png,pantheon,val,0,target
09024.png,pantheon,test,0,target
01325.png,hofburg_imperial_palace,val,1,target
10739_aug_0.png,pantheon,train,0,target
00365.png,hofburg_imperial_palace,val,1,target
00414.png,,challenge,,target
08134.png,,challenge,,target
03664.png,pantheon,test,0,target
09325_aug_0.png,hofburg_imperial_palace,train,1,target
12184.png,,challenge,,target
11617.png,pantheon,val,0,target
09845.png,,challenge,,target
01215.png,hofburg_imperial_palace,val,1,target
06374_aug_0.png,pantheon,train,0,target
09535.png,,challenge,,target
03414.png,pantheon,test,0,target
00744_aug_0.png,pantheon,train,0,target
05515.png,hofburg_imperial_palace,val,1,target
07235.png,hofburg_imperial_palace,val,1,target
09814.png,pantheon,test,0,target
05395.png,hofburg_imperial_palace,val,1,target
10360_aug_0.png,pantheon,train,0,target
06215.png,hofburg_imperial_palace,val,1,target
01295_aug_0.png,hofburg_imperial_palace,train,1,target
11921_aug_0.png,pantheon,train,0,target
09355.png,,challenge,,target
11433.png,pantheon,val,0,target
09665.png,hofburg_imperial_palace,val,1,target
10245_aug_0.png,pantheon,train,0,target
02534_aug_0.png,pantheon,train,0,target
09084_aug_0.png,pantheon,train,0,target
03314_aug_0.png,pantheon,train,0,target
09965_aug_0.png,hofburg_imperial_palace,train,1,target
10251_aug_0.png,pantheon,train,0,target
09835.png,hofburg_imperial_palace,val,1,target
02974_aug_0.png,pantheon,train,0,target
02614.png,pantheon,test,0,target
11382.png,pantheon,test,0,target
07154.png,,challenge,,target
