filename,partition,task,semantic_label,numeric_label
04494.png,val,target,pantheon,0
03865.png,train,target,hofburg_imperial_palace,1
05965.png,test,target,hofburg_imperial_palace,1
00664.png,test,target,pantheon,0
11156.png,train,target,pantheon,0
05075.png,train,target,hofburg_imperial_palace,1
04985.png,val,target,hofburg_imperial_palace,1
09735.png,train,target,hofburg_imperial_palace,1
12048.png,train,target,pantheon,0
12101.png,train,target,pantheon,0
04685.png,train,target,hofburg_imperial_palace,1
09424.png,test,target,pantheon,0
12380.png,val,target,pantheon,0
09024.png,test,target,pantheon,0
01325.png,val,target,hofburg_imperial_palace,1
10739.png,train,target,pantheon,0
00365.png,val,target,hofburg_imperial_palace,1
00414.png,challenge,target,,
08134.png,challenge,target,,
03664.png,test,target,pantheon,0
09325.png,train,target,hofburg_imperial_palace,1
12184.png,challenge,target,,
11617.png,val,target,pantheon,0
09845.png,challenge,target,,
01215.png,val,target,hofburg_imperial_palace,1
06374.png,train,target,pantheon,0
09535.png,challenge,target,,
03414.png,test,target,pantheon,0
00744.png,train,target,pantheon,0
05515.png,val,target,hofburg_imperial_palace,1
07235.png,val,target,hofburg_imperial_palace,1
09814.png,test,target,pantheon,0
05395.png,val,target,hofburg_imperial_palace,1
10360.png,train,target,pantheon,0
06215.png,val,target,hofburg_imperial_palace,1
01295.png,train,target,hofburg_imperial_palace,1
11921.png,train,target,pantheon,0
09355.png,challenge,target,,
11433.png,val,target,pantheon,0
09665.png,val,target,hofburg_imperial_palace,1
10245.png,train,target,pantheon,0
02534.png,train,target,pantheon,0
09084.png,train,target,pantheon,0
03314.png,train,target,pantheon,0
09965.png,train,target,hofburg_imperial_palace,1
10251.png,train,target,pantheon,0
09835.png,val,target,hofburg_imperial_palace,1
02974.png,train,target,pantheon,0
02614.png,test,target,pantheon,0
11382.png,test,target,pantheon,0
07154.png,challenge,target,,
04185.png,challenge,target,,
06024.png,val,target,pantheon,0
11217.png,train,target,pantheon,0
10991.png,train,target,pantheon,0
03255.png,train,target,hofburg_imperial_palace,1
06424.png,train,target,pantheon,0
00615.png,val,target,hofburg_imperial_palace,1
01365.png,challenge,target,,
07674.png,train,target,pantheon,0
08115.png,val,target,hofburg_imperial_palace,1
08145.png,challenge,target,,
10578.png,val,target,pantheon,0
00595.png,test,target,hofburg_imperial_palace,1
05275.png,train,target,hofburg_imperial_palace,1
10520.png,train,target,pantheon,0
08505.png,test,target,hofburg_imperial_palace,1
00055.png,test,target,hofburg_imperial_palace,1
10839.png,test,target,pantheon,0
04925.png,challenge,target,,
00805.png,challenge,target,,
02225.png,train,target,hofburg_imperial_palace,1
02115.png,val,target,hofburg_imperial_palace,1
02765.png,val,target,hofburg_imperial_palace,1
02875.png,val,target,hofburg_imperial_palace,1
07735.png,train,target,hofburg_imperial_palace,1
02995.png,train,target,hofburg_imperial_palace,1
07805.png,challenge,target,,
12284.png,challenge,target,,
08485.png,val,target,hofburg_imperial_palace,1
08275.png,challenge,target,,
07855.png,train,target,hofburg_imperial_palace,1
04865.png,challenge,target,,
11523.png,challenge,target,,
10997.png,challenge,target,,
05995.png,test,target,hofburg_imperial_palace,1
09705.png,val,target,hofburg_imperial_palace,1
04675.png,train,target,hofburg_imperial_palace,1
07125.png,train,target,hofburg_imperial_palace,1
07865.png,val,target,hofburg_imperial_palace,1
03945.png,val,target,hofburg_imperial_palace,1
11497.png,test,target,pantheon,0
08494.png,val,target,pantheon,0
10229.png,val,target,pantheon,0
07754.png,train,target,pantheon,0
06214.png,test,target,pantheon,0
05714.png,train,target,pantheon,0
05645.png,train,target,hofburg_imperial_palace,1
00745.png,challenge,target,,
01495.png,challenge,target,,
07245.png,val,target,hofburg_imperial_palace,1
04965.png,train,target,hofburg_imperial_palace,1
07985.png,challenge,target,,
00404.png,train,target,pantheon,0
04885.png,train,target,hofburg_imperial_palace,1
06425.png,val,target,hofburg_imperial_palace,1
04584.png,train,target,pantheon,0
11840.png,challenge,target,,
08825.png,challenge,target,,
05364.png,train,target,pantheon,0
07854.png,challenge,target,,
11234.png,test,target,pantheon,0
05594.png,train,target,pantheon,0
00695.png,val,target,hofburg_imperial_palace,1
08654.png,challenge,target,,
07595.png,val,target,hofburg_imperial_palace,1
09514.png,challenge,target,,
06675.png,train,target,hofburg_imperial_palace,1
09354.png,val,target,pantheon,0
05935.png,val,target,hofburg_imperial_palace,1
07914.png,val,target,pantheon,0
03154.png,val,target,pantheon,0
00035.png,test,target,hofburg_imperial_palace,1
08854.png,train,target,pantheon,0
04355.png,challenge,target,,
11428.png,challenge,target,,
07165.png,val,target,hofburg_imperial_palace,1
01145.png,challenge,target,,
05155.png,train,target,hofburg_imperial_palace,1
10288.png,challenge,target,,
09395.png,train,target,hofburg_imperial_palace,1
07505.png,val,target,hofburg_imperial_palace,1
09275.png,train,target,hofburg_imperial_palace,1
09195.png,val,target,hofburg_imperial_palace,1
01875.png,val,target,hofburg_imperial_palace,1
10764.png,train,target,pantheon,0
01274.png,test,target,pantheon,0
06594.png,train,target,pantheon,0
00845.png,challenge,target,,
04855.png,train,target,hofburg_imperial_palace,1
04515.png,challenge,target,,
12091.png,train,target,pantheon,0
06044.png,challenge,target,,
06115.png,train,target,hofburg_imperial_palace,1
02104.png,train,target,pantheon,0
07214.png,train,target,pantheon,0
02165.png,val,target,hofburg_imperial_palace,1
06294.png,val,target,pantheon,0
03875.png,val,target,hofburg_imperial_palace,1
01285.png,train,target,hofburg_imperial_palace,1
00685.png,val,target,hofburg_imperial_palace,1
03655.png,train,target,hofburg_imperial_palace,1
06255.png,test,target,hofburg_imperial_palace,1
06834.png,val,target,pantheon,0
07774.png,train,target,pantheon,0
05154.png,train,target,pantheon,0
01655.png,challenge,target,,
10909.png,challenge,target,,
08044.png,train,target,pantheon,0
09544.png,train,target,pantheon,0
09525.png,train,target,hofburg_imperial_palace,1
02185.png,train,target,hofburg_imperial_palace,1
08555.png,train,target,hofburg_imperial_palace,1
03504.png,val,target,pantheon,0
04335.png,test,target,hofburg_imperial_palace,1
06934.png,val,target,pantheon,0
08445.png,test,target,hofburg_imperial_palace,1
02195.png,train,target,hofburg_imperial_palace,1
01035.png,val,target,hofburg_imperial_palace,1
08314.png,train,target,pantheon,0
00354.png,test,target,pantheon,0
04755.png,train,target,hofburg_imperial_palace,1
07925.png,challenge,target,,
01265.png,challenge,target,,
05844.png,train,target,pantheon,0
03684.png,train,target,pantheon,0
11206.png,challenge,target,,
06184.png,train,target,pantheon,0
05685.png,train,target,hofburg_imperial_palace,1
07504.png,challenge,target,,
06545.png,train,target,hofburg_imperial_palace,1
09125.png,challenge,target,,
03375.png,train,target,hofburg_imperial_palace,1
01664.png,test,target,pantheon,0
03095.png,train,target,hofburg_imperial_palace,1
11003.png,challenge,target,,
09254.png,challenge,target,,
04595.png,train,target,hofburg_imperial_palace,1
08335.png,train,target,hofburg_imperial_palace,1
01665.png,train,target,hofburg_imperial_palace,1
04974.png,test,target,pantheon,0
01955.png,train,target,hofburg_imperial_palace,1
00884.png,challenge,target,,
00124.png,challenge,target,,
10772.png,val,target,pantheon,0
05565.png,val,target,hofburg_imperial_palace,1
01005.png,test,target,hofburg_imperial_palace,1
08424.png,train,target,pantheon,0
07304.png,challenge,target,,
08605.png,challenge,target,,
02535.png,train,target,hofburg_imperial_palace,1
02635.png,challenge,target,,
12063.png,train,target,pantheon,0
08075.png,challenge,target,,
01575.png,val,target,hofburg_imperial_palace,1
02294.png,train,target,pantheon,0
09394.png,val,target,pantheon,0
06005.png,challenge,target,,
10590.png,test,target,pantheon,0
12465.png,train,target,pantheon,0
11128.png,test,target,pantheon,0
11291.png,challenge,target,,
05955.png,train,target,hofburg_imperial_palace,1
07494.png,challenge,target,,
09765.png,val,target,hofburg_imperial_palace,1
05545.png,challenge,target,,
01905.png,train,target,hofburg_imperial_palace,1
09025.png,test,target,hofburg_imperial_palace,1
10067.png,train,target,pantheon,0
03624.png,val,target,pantheon,0
09294.png,challenge,target,,
07254.png,train,target,pantheon,0
02204.png,challenge,target,,
01475.png,test,target,hofburg_imperial_palace,1
04705.png,val,target,hofburg_imperial_palace,1
04415.png,challenge,target,,
06964.png,train,target,pantheon,0
09304.png,train,target,pantheon,0
00385.png,challenge,target,,
03254.png,challenge,target,,
03665.png,train,target,hofburg_imperial_palace,1
10028.png,train,target,pantheon,0
02224.png,val,target,pantheon,0
10503.png,train,target,pantheon,0
07935.png,test,target,hofburg_imperial_palace,1
04694.png,train,target,pantheon,0
01135.png,train,target,hofburg_imperial_palace,1
12157.png,train,target,pantheon,0
01595.png,challenge,target,,
11321.png,challenge,target,,
04764.png,train,target,pantheon,0
00025.png,train,target,hofburg_imperial_palace,1
05085.png,val,target,hofburg_imperial_palace,1
02514.png,train,target,pantheon,0
01195.png,val,target,hofburg_imperial_palace,1
02734.png,train,target,pantheon,0
10290.png,challenge,target,,
12024.png,challenge,target,,
00525.png,train,target,hofburg_imperial_palace,1
10766.png,train,target,pantheon,0
02214.png,challenge,target,,
00794.png,challenge,target,,
12266.png,challenge,target,,
06674.png,train,target,pantheon,0
09344.png,train,target,pantheon,0
08484.png,train,target,pantheon,0
03195.png,challenge,target,,
03355.png,val,target,hofburg_imperial_palace,1
04065.png,challenge,target,,
02994.png,challenge,target,,
06875.png,train,target,hofburg_imperial_palace,1
02135.png,val,target,hofburg_imperial_palace,1
00524.png,train,target,pantheon,0
09794.png,train,target,pantheon,0
06795.png,train,target,hofburg_imperial_palace,1
02464.png,val,target,pantheon,0
08245.png,train,target,hofburg_imperial_palace,1
00165.png,challenge,target,,
11085.png,challenge,target,,
